,artist,artist_name,album_release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_name
1,Ariana Grande,Ariana Grande,2023,0.688,0.611,11,-5.298,1,0.0423,0.208,0,0.337,0.478,125.015,Honeymoon Avenue
2,Ariana Grande,Ariana Grande,2023,0.714,0.775,1,-3.743,1,0.0382,0.0208,0,0.367,0.516,101.93,Baby I
3,Ariana Grande,Ariana Grande,2023,0.652,0.836,0,-3.3,1,0.101,0.138,0,0.112,0.593,77.974,Right There (feat. Big Sean)
4,Ariana Grande,Ariana Grande,2023,0.532,0.514,7,-4.223,1,0.0268,0.353,0,0.119,0.297,71.974,Tattooed Heart
5,Ariana Grande,Ariana Grande,2023,0.643,0.81,1,-3.837,0,0.0415,0.114,0,0.179,0.411,94.008,Lovin' It
6,Ariana Grande,Ariana Grande,2023,0.733,0.818,4,-4.239,1,0.0814,0.172,0,0.82,0.738,120.023,Piano
7,Ariana Grande,Ariana Grande,2023,0.662,0.653,7,-6.058,1,0.034,0.267,0,0.505,0.259,114.008,Daydreamin'
8,Ariana Grande,Ariana Grande,2023,0.654,0.872,5,-3.263,0,0.141,0.295,0,0.0955,0.867,82.667,The Way (feat. Mac Miller)
9,Ariana Grande,Ariana Grande,2023,0.763,0.839,6,-3.834,1,0.0668,0.0556,0,0.0369,0.846,105.058,You’ll Never Know
10,Ariana Grande,Ariana Grande,2023,0.414,0.336,2,-7.491,1,0.0364,0.828,0,0.0728,0.331,121.64,Almost Is Never Enough (with Nathan Sykes)
11,Ariana Grande,Ariana Grande,2023,0.666,0.803,8,-4.649,1,0.0496,0.133,0,0.0607,0.769,99.012,Popular Song (MIKA & Ariana Grande)
12,Ariana Grande,Ariana Grande,2023,0.577,0.8,9,-3.942,1,0.0344,0.0389,0.000272,0.105,0.268,130.054,Better Left Unsaid
13,Ariana Grande,Ariana Grande,2023,0.669,0.87,5,-2.614,0,0.195,0.326,0,0.0901,0.837,82.64,The Way - Spanglish Version (feat. Mac Miller)
14,Ariana Grande,Ariana Grande,2023,0.661,0.718,11,-4.96,1,0.0438,0.0162,0,0.129,0.215,124.895,Honeymoon Avenue - Live from London
15,Ariana Grande,Ariana Grande,2023,0.649,0.683,7,-3.792,1,0.0443,0.0848,0,0.245,0.344,113.964,Daydreamin' - Live from London
